0.10057,25.226,49.589,67.915,80.304,108.83,118.06,146.09,169.02,188.81,202.95,220.39,248.96,254.58,284.58,293.95,313.2,340.55
8.6736,26.774,34.346,50.159,71.95,99.525,122.61,132.07,152.74,171.57,200.14,218.21,231.13,268.02,282.22,298.3,329.37,331.2
3.1395,10.393,31.874,58.039,88.358,107.93,114.05,138.54,157.02,175.61,193.62,216.21,235.76,256.23,286.85,290.3,324.67,341.75
3.9836,16.222,40.684,54.336,82.144,100.26,123.59,130.3,150.7,171.18,202.24,210.68,233.72,255.42,286.91,294.49,324.23,343.29
-4.5485,20.585,49.813,65.643,77.277,96.942,123.3,149.93,161.64,182.19,207.76,223.01,237.08,252.82,279.88,304.86,315.48,342.53
1.8883,20.992,48.931,55.689,87.847,97.898,119.57,143.81,160.1,186.63,200.43,218.18,244.1,264.27,288.8,294.2,325.34,342.88
-8.0465,13.242,30.329,53.205,75.694,95.472,128.85,149.14,164.68,181.09,192.99,221.62,242.73,260.12,277.31,293.6,325.55,342.83
9.0782,13.455,43.9,69.01,73.097,105.76,111.7,131.47,157.6,189.01,190.18,223.87,238.73,251.97,284.73,305.21,323.65,347.15
-5.2601,19.71,48.664,64.568,77.617,98.907,114.31,134.94,159.97,179.8,194.69,210.89,246.46,262.91,284.5,295.4,330,343.78
6.6407,14.704,33.469,59.541,70.225,95.682,123.73,133.16,167.91,187.47,192.13,220.78,238.62,267.81,274.71,293.47,328,340.12
4.5597,21.46,43.912,59.156,72.204,108.01,116.49,143.08,165.52,175.39,196.38,220.39,247.1,254.55,281.26,290.14,321.97,341.29
3.2957,12.427,37.703,60.159,70.971,103.07,124.26,141.57,151.35,187.97,191.69,211.93,237.08,255.21,289.02,304.02,317.43,342.38
-9.1106,22.09,34.499,59.678,88.098,96.92,122.61,148.38,161.83,189.73,205.95,212.28,246.75,259.1,272.02,294.9,320.32,338.09
-0.65558,11.587,37.5,57.908,74.045,108.12,113.94,144.92,166.67,184.99,201.97,210.37,234.1,256.68,272.92,303.29,319.72,340.24
-9.417,27.498,43.751,56.189,88.593,92.743,129.66,143.54,151.18,186.89,201.45,219.21,232.95,251.5,275.62,295.2,328.59,335.85
4.9226,11.236,43.659,55.439,76.355,94.676,121.82,131.15,169.88,189.54,201.77,220.97,236.33,264.71,288.02,300.32,322.56,342.13
-1.5072,10.199,35.149,67.874,87.494,107.09,126.69,138.56,153.75,187.14,207.32,223.2,246.83,266.34,288.33,294.6,328.05,334.76
9.961,20.691,42.749,53.785,73.984,109.22,125.78,144.34,154.62,185.52,204.24,216.13,232.11,267.01,273.95,295.88,325.84,334.09
-8.1503,22.692,34.022,66.325,86.779,104.36,119.84,144.11,152.15,180.18,207.82,229.93,248.33,263.22,285.13,291.75,316.05,340.8
4.211,15.388,46.84,57.635,74.53,106,119.27,131.01,157.52,171.52,201.55,223.48,239.79,264.57,278.68,294.46,327.07,341.12
5.9396,22.815,49.865,69.012,81.282,90.017,121.59,133.83,165.77,173.61,203.67,212.48,232.42,258.66,282.68,306.59,310.89,338.71
2.8872,24.91,41.258,58.972,77.787,90.539,118.08,138.65,166.34,179.94,196.25,226.95,244.31,266.23,286.1,301.13,313.52,345.37
-5.1749,15.251,43.353,61.131,72.921,108.53,116.79,146.58,167.42,184.43,195.12,229.89,231.39,251.74,276.16,303.95,321.84,345.42
-6.9536,20.937,48.536,69.913,86.533,101.78,118.84,135.63,161.34,172.89,195.55,214.91,233.45,258.21,273.39,299.84,320.22,338.74
3.525,16.688,49.839,52.327,74.979,103.49,112.48,138.71,155.26,172.67,199.46,228.43,230.71,257.15,271.98,309.99,313.21,342.05
-2.6725,25.178,44.333,68.749,80.469,106.85,110.1,132.27,163.99,177.63,204.14,223.88,239.23,258.97,273.34,295.47,327.32,339.21
-8.2175,27.774,38.526,57.972,72.289,109.88,119.02,143.11,163.57,181.11,207.01,227.05,233.58,253.73,289.06,291.5,314.65,347.16
-4.8902,24.196,33.243,66.008,75.936,104.38,129.69,142.58,163.43,185.42,208.32,222.62,235.34,254.23,278.28,290.82,320.45,337.17
-2.4588,19.208,48.302,53.523,86.869,102.94,119.93,146.5,160.45,179.91,208.17,212.61,240.72,264.3,279.27,304.77,314.35,343.8
8.3103,21.386,30.195,69.439,79.427,105.09,128.05,140.46,168.32,186.59,200.95,213.5,243.93,264.33,284.75,309.63,319.3,338.93
-3.5133,15.55,44.857,62.649,72.089,108.38,128.47,146.52,153.75,171.53,208.92,213.12,246.18,252.52,282.99,296.21,322.98,336.72
9.1322,26.783,47.712,57.499,82.844,90.426,121.79,147.72,154.28,175.47,206.34,219.03,232.54,258.38,289.54,305.5,327.23,344.78
6.684,16.282,40.172,69.936,70.58,102.39,111.88,145.41,169.36,170.03,192.04,219.4,246.55,269.42,281.78,296.77,310.26,332.31
2.942,20.05,38.935,55.913,88.421,109.14,118.75,148.98,169.13,186.08,207.18,216.69,233.33,262.34,271.38,301.69,320.42,333.83
9.8386,14.133,46.336,57.75,88.617,90.806,110.23,148.65,160.56,183.23,202.67,212.21,238.35,265.08,270.5,306.17,318.81,336.63
4.637,15.208,43.912,52.905,77.719,92.563,125.41,131.73,151.62,174.11,206.72,217.9,236.65,251.12,280.13,300.43,324.15,340.41
-1.2891,23.244,44.147,58.536,81.721,90.333,116.72,143.13,150.94,172.99,207.49,214.44,231.59,257.04,281.69,301.6,322.2,349.24
3.6195,23.78,43.029,61.639,82.67,93.268,126.1,136,157.47,174.23,209.67,227.18,248.77,250.02,288.75,294.85,313.5,336.32
2.5845,11.469,40.613,69.889,77.374,94.616,128.05,134.77,159.05,188.08,192.73,218.96,243.39,263.6,285.48,300.37,310.52,336.16
0.97273,18.386,30.24,64.895,82.949,103.06,115.13,145.83,167.86,179.61,208.11,214.63,233.05,266.15,272.17,309.29,311.98,336.65
-9.2464,11.401,45.887,64.729,81.937,93.789,121.16,141.21,165.02,174.07,198.75,224.9,233.53,265.22,271.46,292.88,324.91,337.72
6.643,20.234,32.841,69.149,87.454,109.47,114.41,139.87,154.29,184.82,199.45,211.76,239.1,252.35,286.99,294.02,323.49,341.71
