-39.945,56.575,176.43,233.44
-6.2598,74.298,153.96,309.68
-3.4741,134.43,173.83,274.74
-42.174,88.314,135.21,270.1
10.029,70.109,205.75,263.33
-39.437,114.99,192.14,231.07
15.745,123.71,172.72,242.47
-14.844,82.477,145.04,268.21
7.9494,117.88,150.17,302.66
34.191,80.018,222.47,227.5
4.0373,112.49,217.23,256.09
-24.988,82.66,159.06,311.93
8.4618,101.32,157.16,291.43
-28.101,55.42,151.01,251.27
-20.871,106.85,175.34,308.62
-6.9664,132.09,216.64,267.63
-6.7927,116.22,170.73,240.21
-9.8031,85.74,149.71,268.65
-10.294,57.809,145.48,230.78
-40.753,93.366,146.82,288.43
8.1421,131.23,151.47,269.38
-22.722,78.875,154.24,268.03
-17.261,84.302,162.85,255.53
-18.17,90.988,161.52,284.99
-9.3454,84.943,223.89,307.84
-33.642,77.899,138.42,244.92
42.039,120.85,143.79,292.37
-21.936,119.84,141.1,276.87
8.2498,124.81,223.42,314.29
36.414,87.501,173.54,260.46
-22.861,74.567,200.36,256.75
1.9697,75.228,190.15,278.36
-5.504,111.7,218.83,250.37
19.376,64.044,199.09,268.28
-35.903,100.16,201.49,297.66
44.585,49.199,182.97,234.42
11.71,84.365,159.29,275.7
5.7311,68.609,181.96,299.78
-29.93,134.39,196.98,290.83
-5.5279,57.612,162.33,256.04
2.5366,103.51,189.3,291.81
-10.404,77.17,188.49,304.49
33.89,52.249,194.57,284.19
-30.528,134.82,195.42,268.08
12.558,124.67,143.6,302.67
-15.814,75.027,208.37,296.56
-28.479,108.14,223.64,283.52
-17.06,108.01,165.36,289.82
37.94,128.58,197.24,228.29
19.685,89.449,219.32,288.08
10.758,55.959,220.31,287.61
22.519,124.15,157.81,278.65
-7.2473,113.98,213.09,304.12
-22.813,127.87,138.29,225.21
-29.617,128.78,203.92,252.09
-9.5607,67.256,137.48,270.23
-20.083,59.543,154.49,296.54
-15.457,64.168,193.39,229.45
21.233,77.646,181.37,292.88
-36.831,121.63,200.5,232.21
-18.17,72.679,213.5,257.72
-14.812,72.149,148.04,272.36
7.7427,65.988,203,300.78
-14.59,112.72,213.47,291.71
-21.635,55.771,178.04,292.86
30.464,98.128,188.61,311.53
29.037,74.7,201.2,271.62
-7.5194,65.423,209.57,259.47
-43.888,104.73,174.82,310.16
1.7329,102.21,214.65,264.96
30.583,68.409,152.77,310.58
42.74,84.926,144.94,244.17
7.4414,47.789,197.73,242.45
-19.268,61.799,139.02,272.56
4.2652,60.389,143.88,275.14
23.256,55.412,193.38,234.77
23.167,51.697,142.04,225.74
-10.136,119.94,143.8,259.72
-3.4715,103.73,158.58,290.51
13.029,115.3,186.48,232.78
15.045,81.966,219.6,289.26
21.564,117.29,212.45,291.24
-32.175,96.013,151.25,267.31
-25.717,107.97,168.74,286.25
14.018,55.133,153.11,292.63
44.44,89.712,169.37,292.52
9.8433,119.37,204.94,257.26
32.778,103.8,203.19,272.76
10.941,135,190.05,306.34
19.861,103.75,135.85,251.45
12.848,72.127,202.62,309.48
34.975,117.97,171.92,260.27
-31.252,84.429,217.42,283.4
-23.902,53.13,216.44,258.2
18.479,60.838,157.09,301.36
-1.6758,74.103,137.96,276.63
-32.831,76.098,222.31,234.12
42.57,112.97,221.52,247.26
21.073,133.21,201.79,259.39
42.266,131.78,194.89,236.7
20.29,103.33,202.82,252.9
-33.779,113.6,196.32,295.41
4.8309,110.49,215.54,309.58
-4.8459,53.124,180.46,283.82
