-5.8142,29.963,74.522,148.62,188.55,231.03,258.44,320.95
14.913,54.939,84.914,152.49,163.74,238.6,291.49,314.34
11.279,25.345,84.881,144.64,192.63,244.56,250.44,331.27
-0.1871,28.124,82.712,135.61,199.25,215.12,256.38,336.3
-4.4966,34.734,107.86,149.72,186.82,202.73,290.13,312.49
-5.0803,57.74,89.479,150.12,162.49,220.4,282.58,335.69
-13.61,51.902,80.859,138.39,158.15,245.2,250.18,303.89
-21.501,53.849,109.04,124.23,195.27,240.98,289.97,323.21
11.868,57.112,90.019,120.96,187.2,211.21,250.47,309.6
13.394,51.749,84.556,121.46,192.54,238.13,282.78,307.42
-18.524,34.369,100.11,153.7,168.08,238.78,255.26,315.62
-4.8088,24.106,89.233,124.32,164.68,204.89,268.16,324.4
-6.6735,32.746,79.002,118.24,199.63,207.88,281.91,326.49
5.2719,51.674,103.01,112.98,174.97,211.72,256.08,318.63
11.366,41.915,104.3,122.16,159.51,209.6,285.91,299.95
5.5208,43.035,72.339,149.8,175.48,224.92,291.85,308.77
-4.409,65.683,111.42,121.82,197.55,218.6,251.98,314.96
13.978,64.35,80.597,137.16,197.54,225.91,271.52,296.7
-0.42672,37.952,79.576,117.63,162.44,239.68,281.18,332.44
9.9552,52.458,75.497,125.25,165.65,214.6,260.61,314.51
8.0238,54.006,104.17,125.52,162.23,210.03,292.16,310.75
21.553,59.014,95.747,124.43,160.55,208.95,278.72,305.9
19.042,56.703,108.48,118.95,186.15,228.06,255.34,326.95
-15.927,39.502,75.309,148.34,192.1,223.58,279.9,326.71
-17.654,40.362,81.144,139.27,171.35,240.45,285.34,317.19
-1.8749,29.803,81.088,123.2,162.58,245.58,249.7,306.98
11.592,25.084,81.44,119.88,173.36,207.84,279.85,329.28
20.323,60.7,90.313,153.85,179.81,223.64,281.06,311.56
-2.681,24.702,99.873,114.23,175.55,232.08,277.98,328.07
8.0464,53.52,99.28,130.57,181.4,203.06,288.26,302.9
-1.373,58.25,67.795,148.76,170.15,217.47,260.47,323.96
-0.25861,52.654,89.02,131.43,158.54,230.39,284.01,332.91
14.51,30.845,107.65,148.26,180.19,225.66,289.72,313.16
0.75583,23.052,86.596,128.81,175.25,204.3,271.39,299.64
13.638,36.808,94.893,122.61,177.26,208.51,257.19,297.45
-2.4074,26.726,78.949,154.34,196.84,229.3,256.48,314.42
-14.034,42.82,93.758,141.97,187.01,210.49,261.38,303.61
-12.887,50.351,69.782,136.2,189.58,247,256.85,299.07
-2.7697,59.084,77.847,134.43,185.54,230.77,247.58,294.55
11.43,55.162,96.476,144.65,166.43,215.84,251.87,297.81
13.155,53.604,86.787,137.97,172.28,231.71,283.79,333.58
22.191,54.099,82.02,152.11,185.77,205.85,283.45,321.69
15.888,34.257,90.873,141.34,190.9,211.01,259.51,292.59
18.604,36.233,105.93,121.79,177.73,230.51,249.64,303.87
14.968,37.342,72.398,142.34,173.14,225.26,252.64,327.96
5.3817,65.116,107.05,134.64,197.82,244.15,263.48,295.57
-1.7232,43.326,91.529,152.62,193.24,244.2,255.35,297.24
-7.6836,43.543,95.781,148.54,176.29,215.48,257.83,313.72
-14.508,64.215,95.658,130.05,186.62,218.18,270.29,297.34
18.92,46.295,95.947,138.39,187.39,220.01,251.81,329.09
20.774,32.024,82.732,137.53,200.67,243.25,267.2,334.65
14.484,52.887,85.619,150.8,180.15,226.3,248.2,306.23
-8.4171,53.848,90.635,114.5,195.07,234.06,262.99,301.22
21.515,67.169,102.86,121.83,195.37,219.12,286.41,334.68
